"","yearBP","spd","peri_numeric","cribra","porotic","d18OiceSMOW","lag_25yr","lag_50yr","lag_100yr","spd_fact","LIP_phase"
"1",450,0.0035517034134729,0,0,0,-16.99,-18.8,-17.73,-18.27,1,2
"2",451,0.00438793647661186,0,0,0,-17.13,-18.64,-18,-18.84,1,2
"3",452,0.00477876501791139,0,0,0,-18.24,-17.69,-18.63,-19.72,1,2
"4",453,0.0054712288813566,0,0,0,-18.32,-18.47,-17.91,-18.36,1,2
"5",454,0.00584416435119032,0,0,0,-18.59,-18.88,-16.64,-17.58,1,2
"6",455,0.00598051944949943,0,0,0,-18.64,-17.24,-16.36,-17.5,1,2
"7",456,0.00623536547777631,0,0,0,-18.04,-18.47,-17.16,-17.85,1,2
"8",457,0.00623536547777631,0,0,0,-17.6,-18.32,-17.09,-17.13,1,2
"9",458,0.00584416435119032,0,0,0,-16.71,-18.39,-18.07,-17.4,1,2
"10",459,0.00610463149729923,0,0,0,-17.29,-19.13,-19.86,-19.52,1,2
"11",460,0.0057272172378447,0,0,0,-17.54,-18.1,-17.98,-15.73,1,2
"12",461,0.0057272172378447,0,0,0,-16.81,-16.46,-20.57,-17.07,1,2
"13",462,0.0054712288813566,0,0,0,-17.29,-17.7,-19.61,-18.36,1,2
"14",463,0.0054712288813566,0,0,0,-17.2,-16.47,-17.18,-18.25,1,2
"15",464,0.00559371431360183,0,0,0,-17.05,-20.62,-16.9,-17.45,1,2
"16",465,0.00598051944949943,0,0,0,-18.56,-17.8,-16.79,-17.27,1,2
"17",466,0.0068119944185716,0,0,0,-19.3,-21.19,-16.98,-17.07,1,2
"18",467,0.00798802556966226,0,0,0,-19.25,-19.74,-18.76,-17.9,1,2
"19",468,0.0089792476090659,0,0,0,-17.38,-19.77,-17.64,-18.04,1,2
"20",469,0.0103136169802693,0,0,0,-19.01,-17.03,-16.43,-16.01,1,2
"21",470,0.0120407054211034,0,0,0,-19.05,-16.31,-17.67,-17.36,1,2
"22",471,0.0132760582881547,0,0,0,-19.84,-16.85,-15.76,-16.75,1,2
"23",472,0.0139172919987276,0,0,0,-19.86,-18.41,-16.79,-17.49,1,2
"24",473,0.014361143413778,0,0,0,-17.83,-16.98,-18.85,-17.87,1,2
"25",474,0.0150438781273261,0,0,0,-17.82,-16.53,-18.41,-16.96,1,2
"26",475,0.0133501913733645,0,0,0,-18.8,-17.73,-19.96,-15.22,1,2
"27",476,0.0139627604748967,0,0,0,-18.64,-18,-18.75,-16.37,1,2
"28",477,0.0145215711605543,0,0,0,-17.69,-18.63,-17.86,-18.07,1,2
"29",478,0.0150311748802205,0,0,0,-18.47,-17.91,-19.28,-16.76,1,2
"30",479,0.0154954473663004,0,0,0,-18.88,-16.64,-16.75,-16.46,1,2
"31",480,0.0159201316910823,0,0,0,-17.24,-16.36,-16.92,-16.04,1,2
"32",481,0.0163395076023104,0,0,0,-18.47,-17.16,-18.81,-15.3,1,2
"33",482,0.0167765536943507,0,0,0,-18.32,-17.09,-18.93,-15.82,1,2
"34",483,0.0172900930646651,0,0,0,-18.39,-18.07,-18.2,-17.21,1,2
"35",484,0.0178991957962943,0,0,0,-19.13,-19.86,-16.66,-17.6,1,2
"36",485,0.0186025229056989,0,0,0,-18.1,-17.98,-18.1,-18.18,1,2
"37",486,0.0194454901338817,0,0,0,-16.46,-20.57,-17.54,-18.99,1,2
